bay_id,st_marker_id,status,location,lat,lon
1875,2608N,Present,"(-37.814940175564814, 144.9568258373888)",-37.814940175564814,144.9568258373888
3051,5158E,Unoccupied,"(-37.80270330838211, 144.95693412827313)",-37.80270330838211,144.95693412827313
1708,2291S,Present,"(-37.81756615505509, 144.95564220232035)",-37.81756615505509,144.95564220232035
2041,3509S,Present,"(-37.812954777731335, 144.95620520165406)",-37.812954777731335,144.95620520165406
4652,8469W,Present,"(-37.82546445181602, 144.96666522872573)",-37.82546445181602,144.96666522872573
3622,7570N,Present,"(-37.8056518213384, 144.95475934922203)",-37.8056518213384,144.95475934922203
3615,7563S,Unoccupied,"(-37.80593239786066, 144.95561786622383)",-37.80593239786066,144.95561786622383
3174,5381W,Unoccupied,"(-37.80544093036126, 144.95588142321546)",-37.80544093036126,144.95588142321546
2679,10188E,Unoccupied,"(-37.803845768677675, 144.94957821859185)",-37.803845768677675,144.94957821859185
663,C196,Unoccupied,"(-37.80809194461803, 144.97153814440247)",-37.80809194461803,144.97153814440247
6305,13367W,Present,"(-37.819569347421655, 144.94969301151178)",-37.819569347421655,144.94969301151178
3923,C5762,Unoccupied,"(-37.804624341020585, 144.9553703687372)",-37.804624341020585,144.9553703687372
3640,7595S,Unoccupied,"(-37.805352315471154, 144.95041134473956)",-37.805352315471154,144.95041134473956
3378,6199W,Unoccupied,"(-37.80647917016282, 144.95106308998027)",-37.80647917016282,144.95106308998027
1709,2295S,Unoccupied,"(-37.81765243692052, 144.9553431496647)",-37.81765243692052,144.9553431496647
1280,4472E,Unoccupied,"(-37.81313512024972, 144.95435502984975)",-37.81313512024972,144.95435502984975
3562,7088N,Unoccupied,"(-37.80885217507168, 144.95347329740525)",-37.80885217507168,144.95347329740525
4009,C6056,Unoccupied,"(-37.805957885073894, 144.952122521354)",-37.805957885073894,144.952122521354
2047,3518N,Unoccupied,"(-37.81300988211606, 144.95582545197627)",-37.81300988211606,144.95582545197627
1272,4464E,Present,"(-37.81365261136899, 144.9545957601222)",-37.81365261136899,144.9545957601222
3821,C5498,Unoccupied,"(-37.807211723869486, 144.9543295690596)",-37.807211723869486,144.9543295690596
5922,12809S,Unoccupied,"(-37.80297901819951, 144.96714913656768)",-37.80297901819951,144.96714913656768
3897,C5706,Unoccupied,"(-37.806067037313525, 144.9551160044954)",-37.806067037313525,144.9551160044954
5243,11511S,Present,"(-37.81173638829861, 144.95245718481078)",-37.81173638829861,144.95245718481078
6649,13626E,Unoccupied,"(-37.819317532118774, 144.94358149448414)",-37.819317532118774,144.94358149448414
3383,6209W,Present,"(-37.80628564281612, 144.95097485681578)",-37.80628564281612,144.95097485681578
1761,2384N,Unoccupied,"(-37.814371236105046, 144.96246424218043)",-37.814371236105046,144.96246424218043
3599,7334E,Unoccupied,"(-37.80542914849775, 144.94932200991653)",-37.80542914849775,144.94932200991653
3594,7329W,Present,"(-37.8055645772432, 144.94922467217737)",-37.8055645772432,144.94922467217737
3896,C5704,Unoccupied,"(-37.806092441005, 144.95511145791926)",-37.806092441005,144.95511145791926
5600,12219S,Unoccupied,"(-37.80944752218417, 144.97392781937896)",-37.80944752218417,144.97392781937896
3809,C5454,Unoccupied,"(-37.80749564751712, 144.95445854052207)",-37.80749564751712,144.95445854052207
3048,5152E,Unoccupied,"(-37.802770306718415, 144.95696523742583)",-37.802770306718415,144.95696523742583
4010,C6058,Unoccupied,"(-37.80590733551236, 144.952131579965)",-37.80590733551236,144.952131579965
3870,C5636,Unoccupied,"(-37.80691574560741, 144.95496431190531)",-37.80691574560741,144.95496431190531
3922,C5760,Unoccupied,"(-37.804648423233246, 144.95536603987242)",-37.804648423233246,144.95536603987242
7063,4702Ea,Unoccupied,"(-37.804573127716736, 144.95899052129965)",-37.804573127716736,144.95899052129965
6064,13050N,Unoccupied,"(-37.82104865070899, 144.94339949099586)",-37.82104865070899,144.94339949099586
2236,3922N,Unoccupied,"(-37.81212183566778, 144.95488565311987)",-37.81212183566778,144.95488565311987
6303,13363W,Unoccupied,"(-37.819170503440816, 144.94937846771063)",-37.819170503440816,144.94937846771063
4846,9246N,Unoccupied,"(-37.82877889104269, 144.97058682433521)",-37.82877889104269,144.97058682433521
2890,4831W,Unoccupied,"(-37.8106425867915, 144.9585891160634)",-37.8106425867915,144.9585891160634
3862,C5620,Unoccupied,"(-37.80714143011748, 144.9549240681294)",-37.80714143011748,144.9549240681294
4272,C6880,Unoccupied,"(-37.80934619097715, 144.95579335852568)",-37.80934619097715,144.95579335852568
2170,3832N,Unoccupied,"(-37.810759842187935, 144.95961476064505)",-37.810759842187935,144.95961476064505
3624,7573S,Unoccupied,"(-37.80584440198315, 144.9548204611726)",-37.80584440198315,144.9548204611726
5238,11501S,Unoccupied,"(-37.81152512653162, 144.9532043905266)",-37.81152512653162,144.9532043905266
7053,4666Ea,Unoccupied,"(-37.805653516399715, 144.95948789451333)",-37.805653516399715,144.95948789451333
5286,1601W,Unoccupied,"(-37.811571751826925, 144.9505736855038)",-37.811571751826925,144.9505736855038
3147,5329W,Unoccupied,"(-37.81084570995648, 144.9558703069698)",-37.81084570995648,144.9558703069698
5603,12225S,Present,"(-37.80946965054932, 144.97412757656707)",-37.80946965054932,144.97412757656707
1266,4458E,Unoccupied,"(-37.81380452889191, 144.95466629238138)",-37.81380452889191,144.95466629238138
3391,6225W,Present,"(-37.80607013714261, 144.95087680551586)",-37.80607013714261,144.95087680551586
2045,3516N,Present,"(-37.812991539843566, 144.95588954285782)",-37.812991539843566,144.95588954285782
3214,5516E,Present,"(-37.80691807369351, 144.95432346616212)",-37.80691807369351,144.95432346616212
3602,7337W,Unoccupied,"(-37.80541851681704, 144.94924071435915)",-37.80541851681704,144.94924071435915
3261,5814E,Unoccupied,"(-37.80696745663332, 144.95348587919312)",-37.80696745663332,144.95348587919312
6278,13434E,Unoccupied,"(-37.81886189615098, 144.94861303356225)",-37.81886189615098,144.94861303356225
6104,C13512,Unoccupied,"(-37.81924644098103, 144.94583855494295)",-37.81924644098103,144.94583855494295
4319,C6976,Unoccupied,"(-37.809336130975176, 144.95626589693285)",-37.809336130975176,144.95626589693285
1851,2569S,Unoccupied,"(-37.814277249885954, 144.95933409401493)",-37.814277249885954,144.95933409401493
4178,C6620,Unoccupied,"(-37.80842568141322, 144.9595280840578)",-37.80842568141322,144.9595280840578
1814,2487S,Unoccupied,"(-37.81676734910745, 144.95474544210123)",-37.81676734910745,144.95474544210123
637,98E,Unoccupied,"(-37.8087483274348, 144.97196222823982)",-37.8087483274348,144.97196222823982
3918,C5750,Unoccupied,"(-37.80477303060156, 144.95534364200836)",-37.80477303060156,144.95534364200836
4327,C6992,Present,"(-37.80925569590514, 144.9562800890904)",-37.80925569590514,144.9562800890904
3179,5392E,Unoccupied,"(-37.80299825793266, 144.95666645419732)",-37.80299825793266,144.95666645419732
6850,14060E,Unoccupied,"(-37.79615496675042, 144.958207352963)",-37.79615496675042,144.958207352963
2062,3551S,Unoccupied,"(-37.81337390986474, 144.95473111976864)",-37.81337390986474,144.95473111976864
8339,1979Sa,Present,"(-37.81670508568155, 144.96265443562922)",-37.81670508568155,144.96265443562922
5605,12229S,Unoccupied,"(-37.80948448316562, 144.9742602925529)",-37.80948448316562,144.9742602925529
5602,12223S,Present,"(-37.80946232715752, 144.97406125740736)",-37.80946232715752,144.97406125740736
769,C320,Unoccupied,"(-37.814543336975056, 144.97170050566083)",-37.814543336975056,144.97170050566083
3864,C5624,Unoccupied,"(-37.80709106879101, 144.95493314683276)",-37.80709106879101,144.95493314683276
6517,13748E,Unoccupied,"(-37.81281242254772, 144.93655835965987)",-37.81281242254772,144.93655835965987
6613,13855S,Present,"(-37.81408225613303, 144.9416511830292)",-37.81408225613303,144.9416511830292
4013,C6064,Present,"(-37.80583792831153, 144.95214406960355)",-37.80583792831153,144.95214406960355
